context,question,answer,context_length,question_length,answer_length
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What club did Miroslav Klose last play for?,Società Sportiva Lazio S.p.A.,12,8,4
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,Which position did Roman Weidenfeller play?,Goalkeeper,10,6,1
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,For which country did Dimitar Berbatov play?,Bulgaria,12,7,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,Which Brazilian player last played for Juventus?,Lúcio,11,7,1
Tom Starke played for FC Bayern München during the 2017 season.,Who was the goalkeeper for FC Bayern München in 2017?,Tom Starke,11,10,2
Dedê Dedê played for Eskisehirspor during the 2013 season.,"Which player was born in Belo Horizonte, Brazil?",Dedê,9,8,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,Who is a former centre-back for FC Schalke 04?,Christoph Metzelder,11,9,2
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,Which Arsenal player last played in 2015?,Tomas Rosicky,11,7,2
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Who was the goalkeeper for Verein für Bewegungsspiele Stuttgart 1893 in 2012?,Marc Ziegler,13,12,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,Which Paraguayan forward played for Málaga CF?,Roque Santa Cruz,11,7,3
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Gerald Asamoah played for which club?,FC Schalke 04,11,6,3
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which Hungarian midfielder played for Verein für Bewegungsspiele Stuttgart 1893?,Tamás Hajnal,13,10,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,Which Danish player last played for FC Vestsjaelland?,Sladan Peric,10,8,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,Which player last played for Levante UD?,Sérgio da Silva Pinto,12,7,4
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,Fabian Ernst played for which Turkish club?,Kasımpaşa Spor Kulübü,11,7,3
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,Which Czech player played for Galatasaray?,Tomas Ujfalusi,11,6,2
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,Benjamin Köhler played for which German club?,Eintracht Frankfurt Fußball AG,12,7,4
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Who is the defensive midfielder for Borussia Dortmund?,Sebastian Kehl,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,Levan Kobiashvili played for which club in 2013?,Hertha BSC,10,8,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,Which goalkeeper played for Eintracht Frankfurt Fußball AG?,Oka Nikolov,12,8,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What club did Miroslav Klose last play for?,Società Sportiva Lazio S.p.A.,12,8,4
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,Which position did Roman Weidenfeller play?,Goalkeeper,10,6,1
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,For which country did Dimitar Berbatov play?,Bulgaria,12,7,1
Lúcio Lúcio played for Juventus Football Club during the 2012 season.,Which Brazilian player last played for Juventus?,Lúcio,11,7,1
Tom Starke played for FC Bayern München during the 2017 season.,Who was the goalkeeper for FC Bayern München in 2017?,Tom Starke,11,10,2
Dedê Dedê played for Eskisehirspor during the 2013 season.,"Which player was born in Belo Horizonte, Brazil?",Dedê,9,8,1
Christoph Metzelder played for FC Schalke 04 during the 2012 season.,Who is a former centre-back for FC Schalke 04?,Christoph Metzelder,11,9,2
Tomas Rosicky played for Arsenal Football Club during the 2015 season.,Which Arsenal player last played in 2015?,Tomas Rosicky,11,7,2
Marc Ziegler played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Who was the goalkeeper for Verein für Bewegungsspiele Stuttgart 1893 in 2012?,Marc Ziegler,13,12,2
Roque Santa Cruz played for Málaga CF during the 2015 season.,Which Paraguayan forward played for Málaga CF?,Roque Santa Cruz,11,7,3
Gerald Asamoah played for FC Schalke 04 during the 2013 season.,Gerald Asamoah played for which club?,FC Schalke 04,11,6,3
Tamás Hajnal played for Verein für Bewegungsspiele Stuttgart 1893 during the 2012 season.,Which Hungarian midfielder played for Verein für Bewegungsspiele Stuttgart 1893?,Tamás Hajnal,13,10,2
Sladan Peric played for FC Vestsjaelland during the 2013 season.,Which Danish player last played for FC Vestsjaelland?,Sladan Peric,10,8,2
Sérgio da Silva Pinto played for Levante UD during the 2013 season.,Which player last played for Levante UD?,Sérgio da Silva Pinto,12,7,4
Fabian Ernst played for Kasımpaşa Spor Kulübü during the 2012 season.,Fabian Ernst played for which Turkish club?,Kasımpaşa Spor Kulübü,11,7,3
Tomas Ujfalusi played for Galatasaray Spor Kulübü during the 2012 season.,Which Czech player played for Galatasaray?,Tomas Ujfalusi,11,6,2
Benjamin Köhler played for Eintracht Frankfurt Fußball AG during the 2012 season.,Benjamin Köhler played for which German club?,Eintracht Frankfurt Fußball AG,12,7,4
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Who is the defensive midfielder for Borussia Dortmund?,Sebastian Kehl,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,Levan Kobiashvili played for which club in 2013?,Hertha BSC,10,8,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,Which goalkeeper played for Eintracht Frankfurt Fußball AG?,Oka Nikolov,12,8,2
